date,open,high,low,close,adjusted,volume
2011-12-12,1063000 ,1084000 ,1060000 ,1084000 ,1084000 ,243479 
2011-12-13,1074000 ,1075000 ,1050000 ,1050000 ,1050000 ,265044 
2011-12-14,1034000 ,1045000 ,1025000 ,1040000 ,1040000 ,421590 
2011-12-15,1029000 ,1036000 ,1015000 ,1015000 ,1015000 ,339605 
2011-12-16,1021000 ,1045000 ,1020000 ,1045000 ,1045000 ,245774 
2011-12-19,1045000 ,1045000 ,984000 ,1007000 ,1007000 ,410694 
2011-12-20,1008000 ,1029000 ,1007000 ,1012000 ,1012000 ,275516 
2011-12-21,1035000 ,1057000 ,1031000 ,1057000 ,1057000 ,408316 
2011-12-22,1045000 ,1053000 ,1041000 ,1052000 ,1052000 ,213171 
2011-12-23,1056000 ,1074000 ,1056000 ,1068000 ,1068000 ,246478 
2011-12-26,1067000 ,1075000 ,1066000 ,1066000 ,1066000 ,124469 
2011-12-27,1068000 ,1080000 ,1053000 ,1073000 ,1073000 ,226189 
2011-12-28,1073000 ,1073000 ,1060000 ,1061000 ,1061000 ,220925 
2011-12-29,1062000 ,1077000 ,1057000 ,1058000 ,1058000 ,218898 
2011-12-30,1062000 ,1077000 ,1057000 ,1058000 ,1058000 ,218898 
2012-01-02,1070000 ,1080000 ,1065000 ,1080000 ,1080000 ,263300 
2012-01-03,1093000 ,1105000 ,1092000 ,1105000 ,1105000 ,339046 
2012-01-04,1105000 ,1110000 ,1075000 ,1080000 ,1080000 ,342389 
2012-01-05,1073000 ,1079000 ,1055000 ,1055000 ,1055000 ,346691 
2012-01-06,1056000 ,1066000 ,1030000 ,1040000 ,1040000 ,376753 
2012-01-09,1040000 ,1041000 ,1015000 ,1016000 ,1016000 ,387166 
2012-01-10,1021000 ,1036000 ,1021000 ,1026000 ,1026000 ,409381 
2012-01-11,1017000 ,1024000 ,1014000 ,1021000 ,1021000 ,382904 
2012-01-12,1016000 ,1029000 ,1011000 ,1028000 ,1028000 ,371462 
2012-01-13,1028000 ,1050000 ,1026000 ,1046000 ,1046000 ,293017 
2012-01-16,1040000 ,1040000 ,1020000 ,1030000 ,1030000 ,232948 
2012-01-17,1041000 ,1048000 ,1024000 ,1036000 ,1036000 ,342322 
2012-01-18,1051000 ,1052000 ,1022000 ,1030000 ,1030000 ,307608 
2012-01-19,1038000 ,1072000 ,1037000 ,1072000 ,1072000 ,448056 
2012-01-20,1090000 ,1105000 ,1076000 ,1105000 ,1105000 ,512607 
2012-01-23,1090000 ,1105000 ,1076000 ,1105000 ,1105000 ,512607 
2012-01-24,1090000 ,1105000 ,1076000 ,1105000 ,1105000 ,512607 
2012-01-25,1092000 ,1125000 ,1092000 ,1114000 ,1114000 ,455736 
2012-01-26,1116000 ,1121000 ,1094000 ,1113000 ,1113000 ,353212 
2012-01-27,1120000 ,1125000 ,1111000 ,1125000 ,1125000 ,255060 
2012-01-30,1129000 ,1130000 ,1109000 ,1115000 ,1115000 ,327408 
2012-01-31,1105000 ,1120000 ,1089000 ,1107000 ,1107000 ,434959 
2012-02-01,1107000 ,1107000 ,1078000 ,1079000 ,1079000 ,458731 
2012-02-02,1086000 ,1104000 ,1068000 ,1080000 ,1080000 ,448986 
2012-02-03,1071000 ,1084000 ,1056000 ,1066000 ,1066000 ,357253 
2012-02-06,1084000 ,1091000 ,1066000 ,1074000 ,1074000 ,317585 
2012-02-07,1077000 ,1096000 ,1073000 ,1093000 ,1093000 ,238611 
2012-02-08,1099000 ,1100000 ,1084000 ,1092000 ,1092000 ,236880 
2012-02-09,1087000 ,1090000 ,1060000 ,1084000 ,1084000 ,480585 
2012-02-10,1084000 ,1084000 ,1061000 ,1062000 ,1062000 ,372318 
2012-02-13,1069000 ,1089000 ,1067000 ,1083000 ,1083000 ,320760 
2012-02-14,1084000 ,1089000 ,1074000 ,1080000 ,1080000 ,246511 
2012-02-15,1098000 ,1138000 ,1092000 ,1135000 ,1135000 ,570588 
2012-02-16,1130000 ,1140000 ,1121000 ,1135000 ,1135000 ,308603 
2012-02-17,1159000 ,1180000 ,1156000 ,1176000 ,1176000 ,346676 
2012-02-20,1178000 ,1194000 ,1166000 ,1175000 ,1175000 ,296550 
2012-02-21,1175000 ,1198000 ,1165000 ,1180000 ,1180000 ,216328 
2012-02-22,1182000 ,1200000 ,1172000 ,1197000 ,1197000 ,235724 
2012-02-23,1173000 ,1179000 ,1151000 ,1160000 ,1160000 ,465609 
2012-02-24,1153000 ,1186000 ,1153000 ,1180000 ,1180000 ,284960 
2012-02-27,1174000 ,1180000 ,1159000 ,1171000 ,1171000 ,168265 
2012-02-28,1196000 ,1200000 ,1181000 ,1185000 ,1185000 ,333027 
2012-02-29,1191000 ,1209000 ,1191000 ,1206000 ,1206000 ,345618 
2012-03-01,1191000 ,1209000 ,1191000 ,1206000 ,1206000 ,345618 
2012-03-02,1215000 ,1217000 ,1179000 ,1182000 ,1182000 ,360682 
2012-03-05,1190000 ,1191000 ,1166000 ,1174000 ,1174000 ,223655 
2012-03-06,1179000 ,1193000 ,1167000 ,1180000 ,1180000 ,211532 
2012-03-07,1175000 ,1183000 ,1165000 ,1172000 ,1172000 ,230554 
2012-03-08,1180000 ,1186000 ,1165000 ,1180000 ,1180000 ,406211 
2012-03-09,1191000 ,1231000 ,1188000 ,1230000 ,1230000 ,365212 
2012-03-12,1224000 ,1226000 ,1210000 ,1210000 ,1210000 ,236760 
2012-03-13,1200000 ,1229000 ,1200000 ,1221000 ,1221000 ,239728 
