Date,Open,High,Low,Close,Volume,Adjusted
2013-12-10,1441000 ,1451000 ,1431000 ,1440000 ,155112 ,1440000 
2013-12-11,1426000 ,1444000 ,1416000 ,1420000 ,212583 ,1420000 
2013-12-12,1396000 ,1410000 ,1396000 ,1410000 ,299241 ,1410000 
2013-12-13,1410000 ,1411000 ,1390000 ,1390000 ,201065 ,1390000 
2013-12-16,1391000 ,1404000 ,1383000 ,1400000 ,179088 ,1400000 
2013-12-17,1417000 ,1417000 ,1393000 ,1395000 ,155248 ,1395000 
2013-12-18,1405000 ,1410000 ,1394000 ,1401000 ,217984 ,1401000 
2013-12-19,1418000 ,1434000 ,1418000 ,1427000 ,211048 ,1427000 
2013-12-20,1413000 ,1427000 ,1413000 ,1427000 ,168148 ,1427000 
2013-12-23,1437000 ,1438000 ,1429000 ,1433000 ,212784 ,1433000 
2013-12-24,1430000 ,1432000 ,1415000 ,1415000 ,219607 ,1415000 
2013-12-25,1430000 ,1432000 ,1415000 ,1415000 ,219607 ,1415000 
2013-12-26,1408000 ,1415000 ,1401000 ,1408000 ,246156 ,1408000 
2013-12-27,1410000 ,1411000 ,1395000 ,1396000 ,210200 ,1396000 
2013-12-30,1396000 ,1397000 ,1360000 ,1372000 ,338162 ,1372000 
2013-12-31,1396000 ,1397000 ,1360000 ,1372000 ,338162 ,1372000 
2014-01-01,1396000 ,1397000 ,1360000 ,1372000 ,338162 ,1372000 
2014-01-02,1348000 ,1355000 ,1302000 ,1309000 ,620500 ,1309000 
2014-01-03,1300000 ,1311000 ,1287000 ,1296000 ,529932 ,1296000 
2014-01-06,1303000 ,1320000 ,1296000 ,1307000 ,394716 ,1307000 
2014-01-07,1300000 ,1318000 ,1295000 ,1304000 ,395264 ,1304000 
2014-01-08,1300000 ,1304000 ,1287000 ,1291000 ,409493 ,1291000 
2014-01-09,1307000 ,1307000 ,1275000 ,1275000 ,425019 ,1275000 
2014-01-10,1275000 ,1286000 ,1272000 ,1272000 ,363783 ,1272000 
2014-01-13,1283000 ,1297000 ,1273000 ,1295000 ,328987 ,1295000 
2014-01-14,1297000 ,1330000 ,1290000 ,1313000 ,294333 ,1313000 
2014-01-15,1330000 ,1331000 ,1298000 ,1299000 ,234949 ,1299000 
2014-01-16,1300000 ,1310000 ,1293000 ,1301000 ,195049 ,1301000 
2014-01-17,1301000 ,1315000 ,1292000 ,1292000 ,255485 ,1292000 
2014-01-20,1305000 ,1319000 ,1296000 ,1316000 ,173656 ,1316000 
2014-01-21,1315000 ,1327000 ,1311000 ,1324000 ,151246 ,1324000 
2014-01-22,1314000 ,1328000 ,1312000 ,1328000 ,216530 ,1328000 
2014-01-23,1316000 ,1322000 ,1299000 ,1299000 ,206739 ,1299000 
2014-01-24,1300000 ,1318000 ,1291000 ,1307000 ,280035 ,1307000 
2014-01-27,1293000 ,1304000 ,1285000 ,1292000 ,266926 ,1292000 
2014-01-28,1273000 ,1293000 ,1273000 ,1283000 ,234027 ,1283000 
2014-01-29,1280000 ,1288000 ,1277000 ,1280000 ,383637 ,1280000 
2014-01-30,1280000 ,1288000 ,1277000 ,1280000 ,383637 ,1280000 
2014-01-31,1280000 ,1288000 ,1277000 ,1280000 ,383637 ,1280000 
2014-02-03,1286000 ,1288000 ,1271000 ,1272000 ,325184 ,1272000 
2014-02-04,1263000 ,1263000 ,1249000 ,1249000 ,320660 ,1249000 
2014-02-05,1245000 ,1255000 ,1234000 ,1237000 ,298533 ,1237000 
2014-02-06,1245000 ,1267000 ,1240000 ,1259000 ,303949 ,1259000 
2014-02-07,1275000 ,1279000 ,1263000 ,1275000 ,198872 ,1275000 
2014-02-10,1271000 ,1281000 ,1262000 ,1277000 ,155993 ,1277000 
2014-02-11,1281000 ,1315000 ,1272000 ,1311000 ,253680 ,1311000 
2014-02-12,1331000 ,1331000 ,1305000 ,1307000 ,200548 ,1307000 
2014-02-13,1300000 ,1320000 ,1290000 ,1298000 ,116769 ,1298000 
2014-02-14,1296000 ,1308000 ,1292000 ,1301000 ,124415 ,1301000 
2014-02-17,1292000 ,1306000 ,1280000 ,1285000 ,187733 ,1285000 
2014-02-18,1285000 ,1299000 ,1282000 ,1295000 ,118213 ,1295000 
2014-02-19,1300000 ,1300000 ,1280000 ,1290000 ,123595 ,1290000 
2014-02-20,1290000 ,1296000 ,1281000 ,1286000 ,190866 ,1286000 
2014-02-21,1333000 ,1333000 ,1300000 ,1330000 ,286924 ,1330000 
2014-02-24,1334000 ,1345000 ,1321000 ,1328000 ,148501 ,1328000 
2014-02-25,1332000 ,1340000 ,1326000 ,1334000 ,175706 ,1334000 
2014-02-26,1337000 ,1343000 ,1325000 ,1342000 ,258361 ,1342000 
2014-02-27,1335000 ,1342000 ,1330000 ,1341000 ,157827 ,1341000 
2014-02-28,1337000 ,1349000 ,1332000 ,1349000 ,284647 ,1349000 
2014-03-03,1336000 ,1340000 ,1321000 ,1325000 ,242083 ,1325000 
